你好 | nihao | Здравствуйте
肚子 | duzi | Живот
短信 | duanxin | СМС, сообщение
对话 | duihua | Диалог/вести диалог
对面 | duimian | Противоположный, напротив
对于 | duiyu | По отношению к
儿童 | ertong | Ребенок, дети
而 | er | Но и
发生 | fasheng | Произойти, случиться
发展 | fazhan | Развивать, расширять
法律 | falu | Закон
翻译 | fanyi | Переводить, переводчик
烦恼 | fannao | Раздраженный, беспокойный
反对 | fandui | Противостоять, возражать
方法 | fangfa | Метод, способ
方面 | fangmian | Сторона, область
方式 | fangshi | Образец, модель
方向 | fangxiang | Направление
房东 | fangdong | Владелец дома
放弃 | fangqi | Сдаваться, отказываться
放暑假 | fang shujia | Находиться на летних каникулах
放松 | fangsong | Отдыхать, расслабляться
份| fen | сч. слово часть, доля, штука, экземпляр
丰富 | fengfu | Богатый, процветающий
否则 | fouze | В противном случае, иначе
符合 | fuhe | Совпадать, соответствовать
父亲 | fuqin | Отец
付款 | fukuan | Заплатить, выплачивать
负责 | fuze | Ответственный, нести ответственность
复印 | fuyin | Копировать
复杂 | fuza | Сложный, комплексный
富 | fu | Богатый
改变 | gaibian | Изменяться, перемена
干杯 | ganbei | Выпить, осушить бокал
赶 | gan | Следовать за, догонять
敢 | gan | Осмелиться
感动 | gandong | Растрогаться, расчувствоваться
感觉 | ganjue | Чувствовать, чувство
感情 | ganqing | Эмоции, чувства
感谢 | ganxie | Благодарить
干 | gan | Делать
刚 | gang | Только что, вот-вот
高速公路 | gaosu gonglu| Магистральная скороть
胳膊 | gebo | Предплечье, рука
各 | ge | Каждый
工资 | gongzi | Заработная плата
公里 | gongli | Километр
功夫 | gongfu | Мастерство, навык, кунг-фу
共同 | gongtong | Общий, совместный
购物 | gouwu | Ходить за покупками
够 | gou | Хватать, в достатке, достаточно
估计 | guji | Оценивать, предполагать
鼓励 | guli | Вдохновлять, приободрять
故意 | guyi | Нарочно, намеренно
顾客 | guke | Покупатель
挂 | gua | Вешать, повесить
关键 | guanjian | Главный пункт, решающий, ключевой
观众 | guanzhang | Публика, аудитория, зрители
管理 | guanli | Управлять, присматривать
光 | guang | Только, всего лишь/ светлый
广播 | guangbo | Радиовещание, передавать по радио
广告 | guanggao | Реклама, объявление
逛 | guang | Гулять, бродить
规定 | guiding | Устанавливать, определять,/ правило, закон
国籍 | guoji | Гражданство
国际 | guoji | Международный
果汁 | guozhi | Фруктовый сок
过程 | guocheng | Процесс, ход
海洋 | haiyang | Моря и океаны
害羞 | haixiu | Застенчивый, смущенный
寒假 | hanjia | Зимние каникулы
汗 | han | Пот
航班 | hangban | Рейс
好处 | haochu | Польза, преимущество
好像 | haoxiang | Быть похожим/похоже, словно, кажется
号码 | haoma | Число, номер
合格 | hege | Удовлетворительный, соответствующий
合适 | heshi | Подходящий
盒子 | hezi | Ящик, коробка
后悔 | houhui | Сожалеть, раскаиваться
厚 | hou | Толстый, плотный
互联网 | hulianwang | Интернет
互相 | huxiang | Взаимно, обоюдно
护士 | hushi | Медсестра
怀疑 | huaiyi | Сомневаться, подозревать
回忆 | huiyi | Вспоминать/воспоминание
活动 | huodong | Действие, мероприятие/дейтсвовать
活泼 | huopo | Живой, подвижный
火 | huo | Огонь, пламя
获得 | huode | Получить, достигнуть, добиться
积极 | jiji | Активный, положительный
积累 | jilei | Накапливать, копить
基础 | jichu | Основа, база
激动 | jidong | Возбужденный, взволнованный
及时 | jishi | Своевременный, вовремя
即使 | jishi | Пусть, даже(если)
计划 | jihua | Репортер, журналист
技术 | jishu | Техника, мастерство, технология
既然 | jiran | Раз (уж), поскольку
继续 | jixu | Продолжать
寄 | ji | Посылать, отправлять
加班 | jiaban | Работать сверхурочно
加油站 | jiayouzhan | Бензоколонка
家具 | jiaju | Мебель
假 | jia | Ложный, фальшивый
价格 | jiage | Цена
坚持 | jianchi | Придерживаться, упорствовать
减肥 | jianfei | Терять вес, худеть
减少 | jianshao | Уменьшать, сокращать
建议 | jianyi | Вносить предложение, рекомендовать/предложение
将来 | jianglai | Будущее
奖金 | jiangjin | Денежное вознаграждение, приз, премия
降低 | jiangdi | Снизить, уменьшить
降落 | jiangluo | Спускать, приземляться
交 | jiao | Передавать, заязывать отношения с
交流 | jiaoliu | Обмениваться, обмен
交通 | jiaotong | Транспорт, коммуникации
郊区 | jiaoqu | Пригород
骄傲 | jiao'ao | Гордый, высокомерный/гордость
饺子 | jiaozi | Пельмени
教授 | jiaoshou | Профессор
教育 | jiaoyu | Образование/обучать, преподавать
接受 | jieshou | Принимать
接着 | jiezhe | Ловить, продолжать/затем, следом
节 | jie | Праздник, секция, отрезок
节约 | jieyue | Экономить, беречь
结果 | jieguo | Результат, итог
解释 | jieshi | Разъяснять, объяснять
尽管 | jinguan | Несмотря на, пусть(даже), хоть(и)/смело, давай
紧张 | jinzhang | Напряженный, взволнованный
进行 | jinxing | Осуществлять, проводить, продвигаться
禁止 | jinzhi | Запрещать
京剧 | jingju | Пекинская опера
经济 | jingji | Экономика
经理 | jingli | Испытывать, переживать/опыт
经验 | jingyan | Опыт
精彩 | jingcai | Замечательный, интересный, эффектный
景色 | jingse | Пейзаж
警察 | jingcha | Полиция, полицейский
竞争 | jingzheng | Конкурировать, соперничать/конкуренция, борьба
竟然 | jingran | Неожиданно, в итоге, взять да и...
镜子 | jingzi | Зеркало
究竟 | jiujing | В конце концов, все-таки(для уточнения окончательного ответа)
举 | ju | Поднимать
举办 | juban | ОрганизовыватьЮ создавать
举行| juxing | Проводить
拒绝 | jujue | Отвергать, отказываться
距离 | juli | Расстояние, дистанция/остоять от
聚会 | juhui | Встреча/собираться, встречаться
开玩笑 | kai wanxiao | Шутить, подшучивать, разыграть
开心 | kaixin | Радостный, веселый
看法 | kanfa | Взгляд, мнение
考虑 | kaolv | Обдумывать, рассматривать
烤鸭 | kaoya | Жареная утка
科学 | kexue | Наука/научный
棵 | ke | сч.сл. для деревьев
咳嗽 | kesou | Кашлять/кашель
可怜 | kelian | Жалкий, плачевный
可是 | keshi | Но, однако
可惜 | kexi | Жаль, к сожалению
客厅 | keting | Гостиная, зал
肯定 | kending | Утвердительный, положительный/несомненно, безусловно
空 | kong | Пустой, свободный
空气 | kongqi | Воздух
恐怕 | kongpa | Боюсь, что; пожалуй
苦 | ku | Горький, тяжелый
矿泉水 | kuangquanshui | Минеральная вода
困 | kun | Усталый/утомляться, уставать
困难 | kunnan | Трудности, невзгоды/трудный, тяжелый
垃圾桶 | lajitong | Урна, мусорное ведро
拉 | la | Тянуть, тащить; играть на муз. инстр.
辣 | la | Острый
来不及 | laibuji | Не успевать сделать что-то
来得及 | laideji | Успеть сделать что-то
来自 | laizi | Приехать из, происходить из
懒 | lan | Ленивый
浪费 | langfei | Растратить
浪漫| langman | Романтичный, романтический
老虎 | laohu | Тигр
冷静 | lengjing | Спокойный, невозмутимый
礼拜天 | libaitian | Воскресенье
礼貌 | limao | Вежливость/вежливый
理发 | lifa | Стричься
理解 | lijie | Понимать, уяснять
理想 | lixiang | Идеал, мечта
力气 | liqi | Физическая сила
厉害 | lihai | Лихой, суровый, сильный
例如 | liru | Например
俩 | lia | Два, вдвоем
连 | lian | Соединять/даже
联系 | lianxi | Контактировать, связываться/связь, сообщение
凉快 | liangkuai | Прохладный
零钱 | lingqian | Мелочь, деньги на мелкие расходы
另外 | lingwai | Кроме того/другой
留 | liu | Оставлять, задерживаться, оставаться
琉璃 | liuli | Беглый, свободный
流行 | liuxing | Популярный, модный/распространяться
旅行 | lvxing | Путешествовать
律师 | lvshi | Адвокат, юрист
乱 | luan | Запутанный, беспорядочный/как попало
麻烦 | mafan | Беспокоить/хлопоты, беспокойство
马虎 | mahu | Халатный, небрежный
满 | man | Полный, целый, довольный/полным-полно
毛 | mao | ед.изм. мао (десятая часть юаня)
毛巾 | maojin | Полотенце
美丽 | meili | Прекрасный, красивый
梦 | meng | Сон, мечта/видеть сон, сниться
迷路 | milu | Заблудиться
密码 | mima | Пароль
免费 | mainfei | Бесплатный
秒 | miao | ед. изм. секунда
民族 | minzu | Нация, народ, этнос/национальный
母亲 | muqin | Мама, мать
目的 | mudi | Цель
耐心 | naixin | Терпение/терпеливый
难道 | nandao | Неужто, неужели, разве (ритор. вопр.)
难受 | nanshou | Тягостный, неудобный
内 | nei | Внутренняя сторона, внутри
内容 | neirong | Содержание, содержимое
能力 | nengli | Способность, сила
年龄 | nianling | Возраст
弄 | nong | Играть, делать, обзаводиться
暖和 | nuanhuo | Теплый/теплеть
偶尔 | ou'er | Случайно, изредка, время от времени
